date,entry_time,entry_price,exit_time,exit_price,qty,pnl,return_pct,exit_reason,or_high,or_low,r_multiple,breakout_pct,vol_ratio,skipped_reason,cum_pnl,peak,dd
2026-03-16,2026-03-16 14:25:00+05:30,1392.7,2026-03-16 15:15:00+05:30,1393.9,52,62.400000000002365,0.08616356717168416,end_of_day,1389.3,1373.5,0.06250000000000222,0.24472756064205647,2.4054779839928635,,62.400000000002365,62.400000000002365,0.0
2026-03-25,2026-03-25 11:05:00+05:30,1427.5,2026-03-25 14:50:00+05:30,1414.1,74,-991.6000000000067,-0.938704028021022,stop_hit,1421.9,1414.1,-1.0,0.3938392292003593,1.700432199821556,,-929.2000000000044,62.400000000002365,-991.6000000000067
2026-04-20,2026-04-20 12:15:00+05:30,1368.9,2026-04-20 15:15:00+05:30,1361.9,62,-434.0,-0.51135948571846,end_of_day,1365.0,1352.8,-0.4347826086956485,0.3003663003662937,1.507982851250882,,-1363.2000000000044,62.400000000002365,-1425.6000000000067
2026-04-28,2026-04-28 10:30:00+05:30,1375.5,2026-04-28 15:15:00+05:30,1387.9,54,669.6000000000049,0.9014903671392287,end_of_day,1367.7,1357.0,0.6702702702702752,0.5483658697082694,1.5944767820356058,,-693.5999999999995,62.400000000002365,-756.0000000000018
2026-04-29,2026-04-29 10:25:00+05:30,1425.2,2026-04-29 15:15:00+05:30,1426.3,29,31.899999999997362,0.07718214987369555,end_of_day,1409.5,1391.3,0.032448377581118175,1.1138701667257924,1.5614400228128293,,-661.7000000000021,62.400000000002365,-724.1000000000045
